City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Tautira,PF,-17.7333,-149.15,77.16,72,31,19.62,scattered clouds
171,Yinchuan,CN,38.4681,106.2731,78.91,35,88,9.69,overcast clouds
172,Carnarvon,AU,-24.8667,113.6333,66.88,67,0,21.92,clear sky
173,Bage,BR,-31.3314,-54.1069,62.38,63,0,20.71,clear sky
174,Inyonga,TZ,-6.7167,32.0667,91.96,18,100,5.1,overcast clouds
175,Carutapera,BR,-1.195,-46.02,84.56,64,69,9.22,broken clouds
176,Lagoa,PT,39.05,-27.9833,73.38,86,10,7.45,clear sky
177,Sambava,MG,-14.2667,50.1667,75.9,68,2,11.97,clear sky
178,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,60,5,9.82,clear sky
179,Katsuura,JP,35.1333,140.3,79.84,91,100,19.95,overcast clouds
180,Ust-Maya,RU,60.4167,134.5333,37.76,98,100,8.79,light rain
181,Deputatskiy,RU,69.3,139.9,28.54,91,96,2.55,overcast clouds
182,Upernavik,GL,72.7868,-56.1549,38.41,72,100,9.31,overcast clouds
183,Trairi,BR,-3.2778,-39.2689,86.36,57,66,14.76,broken clouds
184,Manuk Mangkaw,PH,4.8,119.85,84.4,71,100,7.11,overcast clouds
185,Olafsvik,IS,64.8945,-23.7142,50.29,77,55,14.97,broken clouds
186,Taoudenni,ML,22.6783,-3.9836,104.31,12,13,6.31,few clouds
187,Hovd,MN,48.0056,91.6419,47.97,46,3,3.0,clear sky
188,Acapulco,MX,16.8634,-99.8901,75.02,94,100,0.0,overcast clouds
189,Gudibanda,IN,13.6694,77.6983,77.23,66,100,6.76,overcast clouds
190,Sjenica,RS,43.2731,19.9994,54.07,47,14,7.23,few clouds
191,Indiana,US,40.0003,-86.2503,69.62,83,0,8.05,clear sky
192,Namibe,AO,-15.1961,12.1522,74.03,73,75,12.66,broken clouds
193,Moron,AR,-34.6534,-58.6198,66.09,76,100,8.99,overcast clouds
194,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,68,40,9.22,scattered clouds
195,Gigmoto,PH,13.7796,124.39,81.25,83,90,4.74,overcast clouds
196,Vilyuysk,RU,63.7553,121.6247,33.78,97,100,11.54,light snow
197,Kavaratti,IN,10.5669,72.642,81.61,78,92,13.09,overcast clouds
198,Igrim,RU,63.1906,64.4162,54.81,70,68,16.24,broken clouds
