City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Gizo,SB,81.63,overcast clouds,-8.103,156.8419,Imagination Island
430,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
438,Montes Claros,BR,73.18,clear sky,-16.735,-43.8617,ibis Montes Claros Shopping
440,Elmira,US,72.36,clear sky,42.0898,-76.8077,Mark Twain Motor Inn
443,Anloga,GH,79.61,overcast clouds,5.7947,0.8973,Pin Drop Hotel
445,Ambon,ID,81.23,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
448,Nishihara,JP,81.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
454,Perivolion,GR,76.55,clear sky,39.4206,20.0147,Santa Maria
455,San Juan De Los Morros,VE,82.58,overcast clouds,9.9115,-67.3538,Hotel La Montaña
459,Zarand,IR,81.9,clear sky,30.8127,56.564,مهمانسرای فناپ
460,Broome,US,71.2,clear sky,42.2506,-75.833,Chenango Valley State Park
461,Muli,MV,82.31,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
464,Tiarei,PF,73.0,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
472,Gemena,CD,78.4,light rain,3.25,19.7667,Hôtel Goshen
475,Salamanca,ES,80.38,scattered clouds,40.8333,-6.0,Palacio Carrascalino
477,Lazaro Cardenas,MX,74.39,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
478,Bunda,TZ,78.62,overcast clouds,-2.05,33.8667,Tembea Mara at Balili Village
479,Morondava,MG,78.4,clear sky,-20.2833,44.2833,La Case Bambou
482,Salaya,IN,83.89,broken clouds,22.3167,69.6,sumbhaiya suny Muslim Jama
483,Noumea,NC,75.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
488,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
491,Kikwit,CD,72.01,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
492,Itoman,JP,82.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
493,Abha,SA,78.62,scattered clouds,18.2164,42.5053,Abha Hotel
495,Teknaf,BD,79.79,moderate rain,20.8624,92.3058,Forestry Guesthouse
498,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
499,Lahaina,US,78.8,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
502,Ankang,CN,71.76,overcast clouds,32.68,109.0172,安琪酒店
505,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
506,Gariaband,IN,77.49,overcast clouds,20.635,82.0614,हंसराज ट्रैक्टर
509,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
510,Caravelas,BR,71.47,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
512,Shirvan,AZ,83.86,clear sky,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
516,Petrolina,BR,84.25,clear sky,-9.3986,-40.5008,JB Hotel
518,Ocean City,US,74.28,clear sky,39.2776,-74.5746,Biscayne Suites
519,Kamaishi,JP,75.36,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
522,Fomboni,KM,77.31,clear sky,-12.28,43.7425,Auberge les abou
523,Phangnga,TH,82.44,overcast clouds,8.4509,98.5298,Sunimit Mansion
524,Salalah,OM,82.49,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
525,Dawlatabad,AF,83.08,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
526,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
527,Binabalian,PH,81.39,broken clouds,16.4202,119.9279,Sundowners Vacation Villas
530,Wanxian,CN,80.8,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
531,Palora,EC,71.71,scattered clouds,-1.7,-77.9333,Rancho grande
532,Imperia,IT,70.0,scattered clouds,43.9667,7.7833,La Stregatta
535,Lekoni,GA,80.22,moderate rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
537,Bacungan,PH,80.04,overcast clouds,9.9106,118.7022,Sumayang Property
540,Madison,US,72.95,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
544,Mossendjo,CG,83.68,light rain,-2.9506,12.7261,HOTEL D'ASSISE
547,Bamboo,JM,77.22,few clouds,18.3922,-77.2643,The Retreat
556,Farkhor,TJ,81.14,clear sky,37.4922,69.4036,Khonai Abdulkhayrov
557,Shimoda,JP,79.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
558,Westport,US,73.89,scattered clouds,41.1415,-73.3579,The Westport Inn
559,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
560,Tongchuan,CN,73.67,overcast clouds,35.0806,109.0897,Tongchuan Hotel
562,San Antonio,US,80.04,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
563,Mindelo,CV,83.75,broken clouds,16.8901,-24.9804,Hotel Gaudi
566,Statesville,US,71.35,clear sky,35.7826,-80.8873,Courtyard by Marriott Statesville Mooresville/Lake Norman
569,Wenzhou,CN,77.5,overcast clouds,27.9994,120.6668,温州喜来登酒店
570,Kontagora,NG,83.26,light rain,10.3999,5.4695,Queens Guest Inn
571,Jiazi,CN,84.18,overcast clouds,22.8779,116.067,Hotel Jin Hao
573,Totness,SR,84.76,few clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
574,Lugano,CH,77.94,clear sky,46.0101,8.96,Hotel Albergo Acquarello
576,Jacksonville,US,80.02,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
581,Saint-Denis,FR,70.23,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
585,Shiyan,CN,72.18,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
586,Ahuimanu,US,78.85,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
588,Ciudad Bolivar,VE,84.96,overcast clouds,8.1222,-63.5497,Hotel Edi
592,Thai Binh,VN,81.09,overcast clouds,20.45,106.3333,Sweden Hotel
596,Varadero,CU,81.36,scattered clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
599,Barre,US,70.16,few clouds,44.197,-72.5021,Hollow Inn & Motel
605,Gushikawa,JP,81.63,mist,26.3544,127.8686,Kirari Guest House
607,Aleksandrov Gay,RU,79.21,overcast clouds,50.147,48.5704,Gostinitsa
610,San Buenaventura,MX,76.48,few clouds,27.0833,-101.5333,Hotel Gran Plaza
613,Kose,TR,83.86,clear sky,40.21,39.6511,Hicret Oteli
614,Muros,ES,84.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
615,Eloy,US,71.46,clear sky,32.7559,-111.5548,Frontier MHC ( formally Eloy Mobile Home Park )
619,Begoro,GH,78.1,moderate rain,6.3871,-0.3774,Sweet Memories Hotel
621,Padang,ID,73.45,moderate rain,-0.9492,100.3543,Mercure Padang
628,Columbus,US,71.82,few clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
629,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
632,Namanga,KE,77.99,overcast clouds,-2.5433,36.7905,Hillsgate Home
636,Minas De Barroteran,MX,76.8,clear sky,27.6333,-101.2833,Motel Venecia
637,Caborca,MX,76.57,clear sky,30.5838,-111.101,Hotel Los Lagos
638,Manono,CD,81.75,light rain,-7.3,27.4167,Hotel hewa bora
640,Palmer,US,70.39,scattered clouds,42.1584,-72.3287,Wedgewood Motel
643,Kilindoni,TZ,77.5,scattered clouds,-7.9139,39.6668,Bustani B&B
645,Yarada,IN,79.12,drizzle,17.65,83.2667,Yarada Jungle Beach Resorts
647,Puerto Escondido,MX,74.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
649,Varkkallai,IN,82.18,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
650,Atambua,ID,73.74,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
651,Sao Fidelis,BR,71.55,few clouds,-21.6461,-41.7469,Hotel São José
