City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Katangli,RU,2022-09-10 22:34:32,51.7102,143.2326,64.44,65,15,15.75
154,Talara,PE,2022-09-10 22:34:33,-4.5772,-81.2719,63.12,87,72,19.6
155,Elizabeth City,US,2022-09-10 22:34:33,36.2946,-76.2511,81.05,70,0,10.36
156,Zanjan,IR,2022-09-10 22:34:33,36.6736,48.4787,56.23,83,49,7.2
157,Concarneau,FR,2022-09-10 22:34:34,47.875,-3.9225,63.39,87,74,5.08
158,Lorengau,PG,2022-09-10 22:34:34,-2.0226,147.2712,81.64,80,50,9.28
159,Morro Bay,US,2022-09-10 22:34:35,35.3658,-120.8499,92.28,69,76,8.99
160,Catuday,PH,2022-09-10 22:34:35,16.2923,119.8062,80.17,78,75,6.6
161,Khatanga,RU,2022-09-10 22:34:36,71.9667,102.5,30.51,95,100,8.14
162,Lyngdal,NO,2022-09-10 22:34:36,58.1376,7.07,59.0,74,96,1.5
163,Opoczno,PL,2022-09-10 22:34:37,51.3757,20.2783,55.9,86,100,4.14
164,Vestmannaeyjar,IS,2022-09-10 22:34:37,63.4427,-20.2734,53.1,90,100,11.05
165,Cururupu,BR,2022-09-10 22:34:38,-1.8283,-44.8683,76.6,84,51,5.23
166,Zhigansk,RU,2022-09-10 22:34:38,66.7697,123.3711,36.57,86,100,12.28
167,Morki,RU,2022-09-10 22:34:38,56.4303,48.9947,44.6,92,86,4.81
168,Georgetown,MY,2022-09-10 22:34:36,5.4112,100.3354,80.53,87,20,3.44
169,Hawera,NZ,2022-09-10 22:34:39,-39.5917,174.2833,58.23,72,99,7.49
170,Biloela,AU,2022-09-10 22:34:39,-24.4167,150.5,67.03,40,95,9.95
171,Luganville,VU,2022-09-10 22:34:40,-15.5333,167.1667,82.35,64,32,9.19
172,Richards Bay,ZA,2022-09-10 22:34:40,-28.783,32.0377,64.76,95,1,3.74
173,Callaguip,PH,2022-09-10 22:34:41,18.0714,120.4867,77.02,100,75,2.3
174,Ilulissat,GL,2022-09-10 22:34:41,69.2167,-51.1,51.82,58,100,14.97
175,Sao Joao Da Barra,BR,2022-09-10 22:34:42,-21.6403,-41.0511,73.49,79,7,7.14
176,Mount Gambier,AU,2022-09-10 22:34:42,-37.8333,140.7667,49.73,88,100,8.86
177,Kpandae,GH,2022-09-10 22:34:43,8.4689,-0.0113,74.79,87,99,2.33
178,Raudeberg,NO,2022-09-10 22:34:43,61.9875,5.1352,51.96,77,5,6.78
179,Crotone,IT,2022-09-10 22:34:43,39.0851,17.1178,77.2,55,0,5.46
180,Homer,US,2022-09-10 22:34:44,59.6425,-151.5483,56.8,63,100,5.75
181,Bauchi,NG,2022-09-10 22:34:44,10.5,10.0,68.41,94,100,3.27
182,Fayetteville,US,2022-09-10 22:34:44,35.0527,-78.8784,79.02,96,100,4.61
183,Araceli,PH,2022-09-10 22:34:45,10.5529,119.9913,82.47,72,87,2.75
184,Contamana,PE,2022-09-10 22:35:45,-7.3333,-75.0167,73.62,89,78,1.77
185,Tha Mai,TH,2022-09-10 22:35:46,12.6214,102.0048,80.06,90,100,3.15
186,Cremona,IT,2022-09-10 22:35:46,45.2333,9.9333,70.38,67,76,3.15
187,Forbesganj,IN,2022-09-10 22:35:46,26.3,87.25,78.12,89,96,8.75
188,Alamos,MX,2022-09-10 22:35:46,27.0167,-108.9333,87.78,53,40,6.73
189,Butaritari,KI,2022-09-10 22:35:47,3.0707,172.7902,81.18,73,3,11.3
190,Honningsvag,NO,2022-09-10 22:35:47,70.9821,25.9704,46.15,87,75,6.91
191,Zaria,NG,2022-09-10 22:35:48,11.1113,7.7227,68.61,94,49,4.92
192,High Level,CA,2022-09-10 22:35:48,58.5169,-117.136,71.71,20,20,10.36
193,Kahului,US,2022-09-10 22:35:44,20.8947,-156.47,89.62,63,40,24.16
194,Watertown,US,2022-09-10 22:34:20,42.3709,-71.1828,82.13,59,40,9.22
195,Klaksvik,FO,2022-09-10 22:35:48,62.2266,-6.589,52.72,90,61,19.19
196,San Policarpo,PH,2022-09-10 22:35:49,12.1791,125.5072,78.94,83,80,3.56
197,Kjollefjord,NO,2022-09-10 22:35:49,70.9457,27.3465,46.45,87,100,9.22
198,Kushiro,JP,2022-09-10 22:33:48,42.975,144.3747,56.35,82,0,4.61
199,Shakiso,ET,2022-09-10 22:35:49,5.75,38.9167,60.58,83,100,3.53
200,Tucuman,AR,2022-09-10 22:35:50,-26.8241,-65.2226,68.0,19,2,9.22
201,Mailsi,PK,2022-09-10 22:35:50,29.8003,72.1758,86.94,52,0,9.8
202,Fort Abbas,PK,2022-09-10 22:35:50,29.1925,72.8536,92.12,44,0,8.72
203,Upernavik,GL,2022-09-10 22:35:51,72.7868,-56.1549,43.03,95,100,5.93
204,Dedza,MW,2022-09-10 22:35:51,-14.3779,34.3332,60.84,45,1,2.33
205,Atuona,PF,2022-09-10 22:35:52,-9.8,-139.0333,77.02,73,5,19.53
206,Victoria,HK,2022-09-10 22:33:59,22.2855,114.1577,83.25,84,20,3.0
207,Bend,US,2022-09-10 22:34:05,44.0582,-121.3153,88.25,22,0,12.66
208,Sambava,MG,2022-09-10 22:35:53,-14.2667,50.1667,66.9,89,28,9.51
209,Dandong,CN,2022-09-10 22:35:53,40.1292,124.3947,66.83,82,37,3.18
210,Karaton,ID,2022-09-10 22:35:53,-6.3424,106.1045,71.76,91,98,1.07
